Back to Content
Table B1.
Stars compatible with the best-fitting phase-space density model of the tidal stream of Palomar 5 and its H-R diagram from GDR2 after dust extinction correction.
N	source_id	π	δ	α	μδ	μα*	GBP − GRP	G	χsel
55	4418734165978521728	−0.0129	−0.0736	229.1446	−2.4978	−2.5807	0.4412	17.4019	5.0599E  + 01
56	4418727225312005504	0.1660	−0.2543	229.1711	−2.4135	−2.2349	1.0770	18.4655	2.0530E  + 01
57	4418726404973230080	0.1299	−0.2695	229.2028	−2.3950	−2.1456	0.8950	17.5034	7.0368E  + 01
58	4419023234457620352	−0.0293	+0.2043	229.2407	−2.4698	−2.3608	1.0275	17.9991	1.4207E  + 02
59	4419073575769649664	0.5628	+0.5239	229.3062	−1.9015	−2.2912	1.0387	18.1476	7.4501E  + 00
60	4419026842229420800	−0.1750	+0.2297	229.3883	−2.7700	−2.0247	1.1586	18.8187	1.6267E  + 01
61	4419052405874782592	0.2759	+0.3638	229.5968	−1.8983	−2.9869	1.1136	18.5392	4.7960E  + 00
62	4419078145614843776	0.4212	+0.6351	229.6086	−2.3773	−2.0128	1.1781	19.0422	1.5265E  + 01
63	4419068108275272448	−0.2572	+0.6591	229.7104	−1.4688	−2.4685	0.9486	19.7550	6.3516E  + 00
64	4418864767344458112	−0.0649	+0.3228	229.7453	−2.1466	−2.5965	1.1113	17.9590	7.6772E  + 00
65	4420584403529433728	0.1415	+0.8509	229.8402	−2.4470	−1.9695	1.0419	18.6502	2.9890E  + 01
66	4420577943898627968	−0.5387	+0.8701	230.0352	−2.1109	−2.9124	0.9411	19.3734	5.3310E  + 00
67	4420385323205469568	−0.2093	+0.7329	230.1499	−2.6252	−2.1064	0.9883	18.7577	5.4691E  + 00
68	4420607768151633408	−0.1165	+1.1328	230.2065	−2.3018	−2.7923	1.0686	17.8563	2.3135E  + 01
69	4420603301385612928	−0.3072	+1.0489	230.3098	−2.7339	−2.0564	1.0515	18.1806	2.5285E  + 01
70	4420616289367861760	0.1482	+1.2596	230.4004	−2.1897	−2.6394	1.1677	18.6286	5.1850E  + 01
71	4420608562721387776	0.2343	+1.0585	230.4380	−2.4493	−2.2273	1.0231	18.2679	5.9114E  + 01
72	4420616048849698304	0.1699	+1.2814	230.4905	−2.0212	−1.9596	1.0675	18.3503	1.0720E  + 02
73	4420708888861661440	−0.3825	+1.3479	230.6310	−1.9221	−2.4611	0.9986	18.0155	2.2752E  + 01
74	4420717139494655360	−0.3145	+1.4909	230.9006	−2.8521	−2.1866	1.0547	17.9769	8.1542E  + 00
75	4420528568955338112	0.3247	+1.4158	230.9018	−1.9665	−3.1172	0.9347	18.5703	1.3916E  + 01
76	4420553479766045824	0.1958	+1.5626	231.0663	−1.8110	−3.3450	0.9903	19.1601	1.2707E  + 01
77	4420744283688076672	0.3469	+1.6499	231.0725	−2.8218	−1.8201	1.0634	18.6081	1.0371E  + 01
78	4420749364634207104	0.4852	+1.6694	231.1743	−2.4018	−3.7009	1.2444	19.8641	5.1075E  + 00
79	4421127944526566272	−0.2777	+1.8523	231.3147	−3.3017	−2.4256	0.8227	19.4204	5.1616E  + 00
80	4421128077670137472	−0.3001	+1.8510	231.3650	−2.1888	−3.1238	1.0839	19.0124	6.0021E  + 00
81	4420939958103532416	0.2914	+1.8132	231.3706	−2.4673	−1.3992	1.0720	18.7013	4.9887E  + 00
82	4420942432004721408	−0.5258	+1.9198	231.5243	−1.6142	−2.4104	0.9329	18.6265	2.0817E  + 01
83	4420974111684168320	0.7073	+2.0716	231.8210	−2.9927	−2.4544	1.0667	19.6251	5.2512E  + 00
84	4420970057233967360	−0.0405	+2.0212	231.8757	−2.6548	−2.9159	1.0609	18.2706	5.5142E  + 00
85	4420973256984758912	0.3024	+2.1114	231.9175	−3.2737	−1.8754	1.1691	19.7097	5.4066E  + 00
86	4420985003720258688	0.1753	+2.2946	232.0258	−1.5876	−3.0622	0.8244	20.1691	5.0991E  + 00
87	4420985553476080768	0.1695	+2.3329	232.0740	−2.3067	−2.7102	0.6363	19.7382	1.4372E  + 01
88	4421270739303308032	0.3234	+2.4940	232.0890	−1.7718	−2.4556	0.7487	17.3115	1.8315E  + 01
89	4421075889522936832	0.1513	+2.3026	232.1542	−1.2829	−2.2284	1.1461	18.8079	2.1412E  + 01
90	4420980914911383552	0.0622	+2.2497	232.1790	−1.1811	−1.6482	0.9222	19.7160	5.5746E  + 00
91	4421074820076313088	0.0669	+2.2627	232.2309	−2.7257	−2.5686	1.1896	19.8201	6.3718E  + 00
92	4421075644710040960	−0.1957	+2.3202	232.2445	−2.4874	−2.1497	1.0964	17.9998	8.3941E  + 01
93	4420967892569667200	0.0372	+2.1748	232.2447	−1.9914	−1.7972	1.0749	18.4407	2.0904E  + 01
94	4421063034685042048	0.0499	+2.2580	232.2667	−1.7235	−2.9694	1.1849	18.4620	1.1119E  + 01
95	4421279741554833664	−0.0775	+2.6654	232.3405	−2.6957	−1.9749	0.8748	19.0484	6.0000E  + 00
96	4421086261868313216	−0.3842	+2.5208	232.5209	−2.4458	−2.3528	1.0164	18.5634	1.0815E  + 01
97	4421118388224664448	−0.2525	+2.7875	232.5409	−1.8784	−2.6760	1.0045	18.8868	8.5105E  + 00
98	4421120896484661504	−0.0837	+2.7778	232.8360	−2.2849	−3.5261	1.2619	19.8009	4.7386E  + 00
99	4421122648831334784	0.3999	+2.8572	232.8419	−1.3443	−2.8624	1.1055	19.5430	7.7608E  + 00
100	4421121102643098880	−0.0570	+2.8128	232.8420	−3.1021	−2.8906	1.0554	19.5488	5.8235E  + 00
101	4427109146047429120	−0.0208	+2.7260	233.0561	−2.4877	−2.6084	1.0095	18.4947	2.9412E  + 01
102	4421056922947507584	−0.1575	+2.6563	233.0629	−1.7088	−2.6912	0.9611	17.5178	7.0492E  + 00
103	4427115605678338048	0.5960	+2.8795	233.0941	−1.9663	−2.2967	1.0083	19.2071	1.3374E  + 01
104	4427116365888010496	−0.2454	+2.9255	233.1339	−1.8015	−1.8290	0.8261	19.4928	1.3035E  + 01
105	4427116091010101888	−0.3001	+2.9078	233.1520	−1.6010	−2.4964	1.0085	18.9371	2.0755E  + 01
106	4427119350890013312	−0.2800	+2.9388	233.2521	−2.0540	−1.7483	1.0091	18.9006	9.9676E  + 00
107	4427149587458915328	0.2883	+3.1325	233.3049	−1.9897	−2.8823	0.9629	19.6203	6.1447E  + 00
108	4427072385423018112	−0.0852	+2.9171	233.4837	−1.3629	−2.5185	0.8760	19.2556	4.8170E  + 00
109	4427159070746889088	0.0524	+3.3349	233.5535	−2.0658	−2.0261	1.0945	18.0417	1.4151E  + 02
110	4427267342578834816	−0.1346	+3.4730	233.6187	−2.3678	−2.0626	1.1503	17.8807	1.5292E  + 01
111	4427108080895293440	−0.2145	+3.2197	233.7217	−2.6400	−1.9216	0.8551	19.9234	7.9206E  + 00
112	4427252391796247936	−0.4364	+3.4275	233.9223	−2.3541	−1.6143	1.0031	18.5629	8.8254E  + 00
113	4427286068636375552	0.1463	+3.6697	234.1154	−1.8386	−2.5410	0.8207	17.4965	4.3439E  + 01
114	4427242118235062400	0.3643	+3.6487	234.4303	−1.8013	−2.5729	1.2051	18.6923	3.2961E  + 01
115	4427620281515156608	0.0090	+3.8090	234.6403	−1.8909	−2.7907	1.0151	18.9503	2.9022E  + 01
116	4427616364504699264	0.5170	+3.9037	234.9541	−2.2568	−1.8675	1.1695	18.9193	7.3622E  + 00
117	4427617051699467264	−0.3315	+3.9052	234.9959	−1.6459	−2.7952	0.9918	19.0932	8.2553E  + 00
118	4427641206595577728	0.1592	+4.0049	235.1233	−3.0101	−2.6033	0.9046	19.6347	4.7413E  + 00
119	4427638079859372288	−0.0039	+3.9687	235.1463	−1.8371	−1.1354	0.9195	19.4172	4.6017E  + 00
120	4427657149514263680	−0.0730	+4.1916	235.1697	−2.0171	−3.0982	1.1434	19.2056	6.1437E  + 00
121	4427749061814709504	0.2200	+4.3595	235.5140	−1.6084	−3.0522	0.9691	19.2026	4.7347E  + 00
122	4427746076813323520	−0.0727	+4.3656	235.6363	−2.5033	−1.9675	1.1675	18.5294	1.7471E  + 01
123	4424743718578674688	−0.0442	+4.2818	235.9371	−2.4113	−2.2675	1.0670	17.3253	1.0274E  + 01
124	4424779727584949120	0.1786	+4.6100	236.2725	−1.7183	−2.3518	1.0645	18.5830	2.3745E  + 01
125	4426303478901609344	0.0403	+4.9487	237.0251	−2.1590	−1.7255	1.1713	18.9585	6.5246E  + 00
126	4426315848407518336	0.3195	+5.1591	237.1373	−1.8922	−1.9475	1.0778	18.8793	5.0225E  + 00
