Back to Content
Table E1.
Selected stars from GDR2 catalogue. They are compatible with a phase-space density model of the tidal stream of M68 and with its HR-diagram. GDR2 does not provide radial velocity for any of these stars.
N	source_id	π	δ	α	μδ	μα*	GBP − GRP	G	χsel
86	1506911987588666112	0.1596	+47.0514	215.9830	5.3300	0.9153	0.5956	17.4090	1.0210E−02
87	1446439500896662016	−0.0118	+24.5145	201.5676	4.7772	−1.6017	0.9760	19.6123	1.0080E−02
88	3677279569234130048	0.7083	−6.6177	193.6215	2.5629	−2.5554	0.8683	20.1710	1.0038E−02
89	1443176738796291584	0.2635	+23.2662	201.9803	4.6112	−0.9136	0.6071	17.8110	9.9017E−03
90	3689436968086686592	0.5275	+0.1543	195.5130	2.7430	−1.7675	0.6331	19.3850	9.8457E−03
91	3743823932797933312	−0.0844	+14.5741	199.2608	3.9796	−2.2242	0.8309	20.0393	9.6899E−03
92	1458262618153176192	0.2948	+32.7413	207.3543	5.1408	−0.3751	0.7559	18.9859	9.6086E−03
93	3940420357056044288	0.3519	+20.8439	199.4598	4.7599	−1.6054	0.6726	18.3198	8.9874E−03
94	1507371072349542144	−0.1597	+47.8610	215.9188	5.5026	−0.0514	0.8711	19.4371	8.8737E−03
95	3938479650312918656	0.6125	+17.5560	199.5950	4.4924	−1.4851	0.8348	19.5584	8.2065E−03
96	1456251169001507584	0.2697	+30.5236	204.2348	4.8161	−1.0784	0.6146	18.0593	7.8983E−03
97	3938871179532201728	0.1450	+18.9098	200.2058	4.2659	−0.6811	0.5948	18.5974	7.8864E−03
98	3689019428546525440	0.3076	−0.9438	195.4987	3.3426	−1.8699	0.6213	19.6326	7.8563E−03
99	1633029475988441856	0.0342	+65.8413	264.5104	1.8194	3.8462	0.8345	19.1037	7.6960E−03
100	1635011792373656448	0.1679	+65.1211	253.8823	2.7241	4.1788	0.5981	17.8074	7.5587E−03
101	3744580156279785600	0.2913	+16.0645	199.2184	3.8843	−1.3277	0.7673	20.0798	7.4507E−03
102	3691972098303496192	−0.2897	+1.9209	196.0260	3.1704	−2.0277	0.5907	18.0558	7.3961E−03
103	3730783072057224064	0.5447	+8.0236	196.8188	4.2337	−4.0880	0.6855	19.5750	6.9686E−03
104	1443127570010678400	0.3753	+22.8453	201.7464	4.9070	−0.6215	0.8291	19.4308	6.9297E−03
105	3732743570009103488	0.2201	+9.7921	197.2683	4.6305	−1.6454	0.7821	19.9412	6.7403E−03
106	3736593170672106496	0.5514	+11.7588	197.8533	5.0609	−3.1560	0.9104	19.8379	6.5168E−03
107	1458436890741975936	0.1259	+33.0617	206.2575	5.7670	−0.3490	0.8147	19.4588	6.4103E−03
108	3685090289385421440	−0.1285	−3.3308	195.3744	2.8122	−2.7455	0.6930	18.3146	6.3728E−03
109	1456784049887562496	−0.1976	+31.6569	205.4463	4.7322	−1.0968	0.8699	19.5363	6.2448E−03
110	1505368857379439232	0.1609	+43.9625	212.0110	6.5511	0.1754	0.9058	19.8964	6.1957E−03
111	1496065511539578112	0.1647	+38.4511	208.6889	5.5450	−0.0661	0.8831	19.9410	6.1851E−03
112	1448703983748127104	−0.1921	+27.2718	204.0384	5.1016	−1.2913	0.7961	19.1699	6.0476E−03
113	3943652440204771328	0.0945	+21.9936	199.5465	4.8426	−2.0650	0.6397	18.4953	5.8078E−03
114	1628882805322936192	0.1545	+63.7692	248.5402	3.4299	3.7673	0.6974	19.6397	5.7581E−03
115	1605837320778662528	0.3849	+52.3964	220.2742	4.9615	1.5494	0.8261	19.6347	5.6522E−03
